# T Magnetizacion Magnetization_Absoluta Magnetization_cuadrada Susceptibilidad Energia Energia_cuadrada Capacidad_calorifica
1.000000000000000056e-01,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+01,2.500000000000000000e+03,0.000000000000000000e+00
2.000000000000000111e-01,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+01,2.500000000000000000e+03,0.000000000000000000e+00
3.000000000000000444e-01,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+01,2.500000000000000000e+03,0.000000000000000000e+00
4.000000000000000222e-01,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+01,2.500000000000000000e+03,0.000000000000000000e+00
5.000000000000000000e-01,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+01,2.500000000000000000e+03,0.000000000000000000e+00
5.999999999999999778e-01,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+01,2.500000000000000000e+03,0.000000000000000000e+00
7.000000000000000666e-01,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+01,2.500000000000000000e+03,0.000000000000000000e+00
7.999999999999999334e-01,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+01,2.500000000000000000e+03,0.000000000000000000e+00
9.000000000000000222e-01,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+01,2.500000000000000000e+03,0.000000000000000000e+00
1.000000000000000222e+00,-9.960000000000001075e-01,9.960000000000001075e-01,9.924480000000001079e-01,1.079999999999691970e-02,-4.964000000000000057e+01,2.467360000000000127e+03,1.292159999999966391e-01
1.100000000000000089e+00,-9.984000000000000652e-01,9.984000000000000652e-01,9.969280000000000364e-01,2.850909090907299045e-03,-4.984000000000000341e+01,2.485280000000000200e+03,4.146776859503487761e-02
1.200000000000000178e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+01,2.500000000000000000e+03,0.000000000000000000e+00
1.300000000000000266e+00,-9.976000000000000423e-01,9.976000000000000423e-01,9.953920000000000545e-01,3.581538461538541322e-03,-4.975999999999999801e+01,2.477920000000000073e+03,4.408047337279132061e-02
1.400000000000000355e+00,-9.920000000000002149e-01,9.920000000000002149e-01,9.846400000000001818e-01,1.028571428571069084e-02,-4.920000000000000284e+01,2.426400000000000091e+03,1.175510204081583882e-01
1.500000000000000000e+00,-9.864000000000002766e-01,9.864000000000002766e-01,9.744000000000003769e-01,2.358399999999686442e-02,-4.875999999999999801e+01,2.387679999999999836e+03,1.803093333333365411e-01
1.600000000000000089e+00,-9.720000000000003082e-01,9.720000000000003082e-01,9.484160000000002588e-01,5.674999999999430500e-02,-4.756000000000000227e+01,2.283039999999999964e+03,3.294749999999950774e-01
1.700000000000000178e+00,-9.768000000000002236e-01,9.768000000000002236e-01,9.567360000000002529e-01,3.820235294117326624e-02,-4.788000000000000256e+01,2.312480000000000018e+03,2.766173010380619246e-01
1.800000000000000266e+00,-9.640000000000003011e-01,9.640000000000003011e-01,9.362560000000001992e-01,9.666666666666155761e-02,-4.707999999999999829e+01,2.249440000000000055e+03,4.063407407407444993e-01
1.900000000000000355e+00,-9.392000000000005899e-01,9.392000000000005899e-01,8.933760000000003920e-01,1.484126315789380535e-01,-4.524000000000000199e+01,2.094239999999999782e+03,5.272288088642606008e-01
2.000000000000000000e+00,-9.256000000000007555e-01,9.256000000000007555e-01,8.708480000000002885e-01,1.764079999999862425e-01,-4.428000000000000114e+01,2.015839999999999918e+03,5.512159999999972637e-01
2.100000000000000089e+00,-5.152000000000004354e-01,9.136000000000005228e-01,8.511360000000004478e-01,6.972678095238094009e+00,-4.356000000000000227e+01,1.963359999999999900e+03,5.976090702947811639e-01
2.200000000000000178e+00,4.391999999999998128e-01,8.552000000000004043e-01,7.642240000000003475e-01,6.492356363636369032e+00,-4.007999999999999829e+01,1.700640000000000100e+03,7.787900826446302327e-01
2.300000000000000266e+00,-6.208000000000004626e-01,7.656000000000008354e-01,6.350720000000000809e-01,2.713906086956515917e+00,-3.471999999999999886e+01,1.319839999999999918e+03,8.647379962192809355e-01
2.400000000000000355e+00,6.312000000000005384e-01,6.976000000000007750e-01,5.427839999999996001e-01,1.503859999999988650e+00,-3.112000000000000099e+01,1.088160000000000082e+03,8.312888888888888550e-01
2.500000000000000444e+00,5.096000000000002750e-01,7.088000000000005407e-01,5.866880000000003204e-01,3.269958399999999710e+00,-3.315999999999999659e+01,1.266720000000000027e+03,1.069660160000000415e+00
2.600000000000000089e+00,-3.688000000000000722e-01,6.480000000000002425e-01,4.895360000000001377e-01,3.399255384615385456e+00,-2.912000000000000099e+01,9.870399999999999636e+02,8.228733727810642051e-01
2.700000000000000622e+00,-4.208000000000001739e-01,6.296000000000003816e-01,4.812159999999996995e-01,2.816142222222217217e+00,-2.876000000000000156e+01,9.982400000000000091e+02,9.388334705075433995e-01
